SplitID,SplitIndex,Split,StrokeRate
6803,2,3580,
6803,4,7726,
6803,6,12486,
6803,8,16246,
6804,2,3441,
6804,4,7344,
6804,6,11255,
6804,8,15202,
6804,10,19230,
6804,12,23275,
6804,14,27342,
6804,16,31351,
6804,18,35354,
6804,20,39237,
6805,2,3447,
6805,4,7431,
6805,6,12045,
6805,8,15619,
6806,2,3842,
6806,4,8467,
6807,2,3414,
6807,4,7275,
6808,4,9333,
6810,2,6769,
6810,4,13514,
6811,2,3644,
6811,4,7768,
6812,2,3670,
6812,4,7534,
6813,2,3720,
6813,4,7940,
6814,4,9171,
6819,2,3258,
6819,4,5925,
6819,6,9471,
6819,8,13763,
6821,2,3028,
6821,4,7061,
6821,6,12059,
6821,8,14651,
6823,2,4654,
6823,4,9507,
6823,6,13312,
6823,8,17898,
6825,2,4391,
6825,4,8624,
6825,6,11210,
6825,8,13953,
6827,2,2339,
6827,4,5207,
6827,8,10455,
6829,2,4898,
6829,8,11866,
6831,2,2130,
6831,4,5133,
6831,8,12585,
6833,2,3528,
6833,8,16598,
6835,2,2796,
6835,4,5621,
6835,6,8442,
6835,8,11091,
6837,2,3231,
6837,4,6415,
6837,6,9486,
6837,8,12293,
6839,2,3154,
6839,4,6531,
6839,6,9860,
6839,8,13129,
6841,2,3447,
6841,4,6725,
6841,6,10756,
6841,8,14754,
6847,2,3098,
6847,4,6553,
6847,6,9731,
6847,8,13104,
6847,10,16055,
6847,12,19432,
6847,14,22413,
6847,16,25792,
6849,2,3260,
6849,4,7069,
6849,6,10657,
6849,8,14540,
6849,10,17790,
6849,12,21381,
6849,14,24781,
6849,16,28595,
6851,2,3479,
6851,4,7346,
6851,6,10960,
6851,8,15176,
6851,10,18785,
6851,12,22911,
6851,14,26690,
6851,16,30528,
6853,2,4354,
6853,4,9596,
6853,6,13527,
6853,8,17950,
6853,10,21785,
6853,12,26762,
6853,14,30458,
6853,16,35121,
6882,2,3444,
6882,4,7556,
6883,2,3993,
6883,4,8534,
6884,2,4443,
6884,4,9831,
6885,2,4499,
6885,4,9363,
6886,2,4095,
6886,4,8547,
6886,6,13658,
6886,8,17560,
6887,2,4019,
6887,4,8645,
6887,6,13495,
6887,8,18477,
6887,10,23611,
6887,12,28438,
6887,14,33437,
6887,16,38414,
6887,18,43464,
6887,20,47474,
6888,2,2968,
6888,4,6157,
6888,6,9511,
6888,8,12764,
6889,2,3089,
6889,4,6491,
6889,6,9975,
6889,8,13461,
6889,10,16970,
6889,12,20416,
6889,14,23904,
6889,16,27499,
6889,18,30802,
6889,20,33968,
6890,2,2674,
6890,4,5845,
6890,6,9222,
6890,8,12316,
6891,2,2838,
6891,4,5957,
6892,2,3347,
6892,4,7254,
6892,6,11574,
6892,8,15797,
6893,2,3545,
6893,4,7974,
6894,2,2908,
6894,4,6020,
6894,6,9250,
6894,8,12548,
6895,2,3224,
6895,4,6490,
6897,2,3465,
6897,4,7426,
6898,2,3495,
6898,4,7827,
6898,6,12547,
6898,8,16862,
6899,2,4412,
6899,4,9318,
6901,2,3443,
6901,20,46539,
6902,2,3177,
6902,4,6943,
6902,6,15514,
6902,8,15510,
6903,2,2996,
6903,4,6507,
6905,2,3385,
6905,4,7148,
6907,2,4472,
6907,4,10074,
6907,6,15855,
6907,8,21425,
6907,12,33508,
6907,16,39480,
6907,18,45297,
6907,20,56216,
6908,2,3446,
6908,4,7680,
6908,6,12422,
6908,8,17188,
6909,2,3545,
6909,4,7746,
6909,6,12459,
6909,8,17254,
6909,10,22235,
6909,12,27157,
6909,14,32127,
6909,16,36940,
6909,18,41794,
6909,20,45955,
6910,2,3137,
6910,4,6632,
6910,6,10194,
6910,8,13831,
6911,2,2992,
6911,4,6304,
6912,2,3298,
6912,4,7253,
6913,4,7561,
6915,2,4508,
6915,4,9717,
6915,6,15393,
6915,8,21246,
6915,10,27239,
6915,12,33397,
6915,14,39635,
6915,18,45805,
6915,20,57587,
6917,2,3848,
6917,4,8096,
6918,2,3259,
6918,4,7454,
6918,6,12541,
6918,8,16570,
6919,2,3901,
6919,4,8224,
6920,2,4004,
6920,4,8810,
6920,6,14288,
6920,8,18832,
6921,4,8775,
6922,2,3658,
6922,4,8355,
6923,2,4308,
6923,4,9249,
6924,2,3146,
6924,4,6636,
6924,6,10253,
6924,8,13760,
6925,2,3744,
6925,4,7965,
6926,2,3851,
6926,4,8402,
6926,6,13704,
6926,8,17641,
6927,2,3711,
6927,4,12639,
6927,6,17550,
6927,12,32188,
6927,14,37106,
6927,16,41931,
6927,20,45942,
6928,2,3918,
6928,4,8931,
6928,6,14753,
6928,8,19349,
6929,2,4267,
6930,2,3058,
6930,4,6545,
6930,6,10239,
6930,8,13847,
6931,2,3559,
6931,4,7379,
6932,2,4962,
6932,4,4960,
6933,2,2706,
6933,4,5715,
6935,2,2714,
6935,4,5778,
6936,2,3192,
6936,4,7229,
6936,6,11833,
6936,8,15739,
6938,2,3384,
6938,4,7333,
6939,2,3324,
6939,4,6955,
6939,6,10738,
6939,8,14609,
6939,10,18520,
6939,12,22493,
6939,14,26518,
6939,16,30571,
6939,18,34534,
6939,20,38212,
6940,2,3864,
6940,4,7923,
6940,6,13362,
6940,8,17298,
6941,2,3667,
6941,4,7775,
6942,2,3262,
6942,4,7090,
6943,2,4875,
6943,4,10973,
6945,2,2749,
6945,4,6041,
6946,2,3615,
6946,4,7940,
6946,6,12763,
6946,8,16699,
6947,2,3613,
6947,4,7584,
6949,2,3037,
6949,4,6233,
6950,2,3291,
6950,4,7621,
6950,6,12375,
6950,8,16423,
6951,2,3105,
6951,4,6796,
6953,2,3770,
6953,4,8884,
6955,2,2819,
6955,4,5723,
6957,2,3929,
6957,4,8710,
6958,2,3913,
6958,4,8761,
6958,6,14016,
6958,8,19375,
6958,10,25060,
6958,12,30460,
6958,14,36031,
6958,16,41540,
6958,18,46837,
6958,20,51774,
6959,2,4336,
6959,4,9114,
6961,2,3596,
6961,4,8393,
6962,2,4179,
6962,4,9031,
6963,2,3895,
6963,4,8599,
6964,2,4655,
6964,4,9879,
6966,2,4289,
6966,4,9190,
6968,2,7029,
6968,4,11268,
6968,6,15398,
6968,12,24080,
6968,14,28492,
6968,16,32928,
6968,18,37303,
6968,20,41171,
6969,2,4080,
6969,4,9043,
6969,6,14590,
6969,8,20132,
6970,2,5674,
6970,4,12361,
6971,2,3866,
6971,4,8282,
6972,2,4654,
6972,4,9919,
6973,2,3635,
6973,4,7913,
6973,6,12440,
6973,8,16937,
6974,2,3811,
6974,4,8259,
6974,6,12969,
6974,8,17675,
6974,10,22447,
6974,12,27264,
6974,14,32099,
6974,16,36955,
6974,18,41854,
6974,20,46376,
6975,2,3248,
6975,4,6995,
6975,6,10862,
6975,8,14530,
6976,2,3360,
6976,4,7229,
6976,6,11150,
6976,8,15113,
6976,10,19033,
6976,12,23035,
6976,14,27025,
6976,16,31139,
6976,18,35095,
6976,20,38965,
6977,2,3387,
6977,4,7293,
6977,6,11991,
6977,8,15567,
6978,2,3201,
