MEET,MNAME,START,END,AGEUP,SINCE,COURSE,REMARKS,INDCHARGE,RELCHARGE,SURCHARGE,TYPE,SANCTION,MaxIndEnt,MaxRelEnt,MaxEnt,Location,RestrictBest,NonConform,EnforceQualifying,EnterAtQTime,MinAge,FacilityFee,TeamFee,Instructions,Altitude,EnforceSlowQtime,BanNoTimes,Lanes,EvenOrOdd,FastToSlow,Masters,ActiveFeeXMLSent,MinAge10AndUnder,SeedLanes,DeadLine,ActiveMeetID,OnlyPreEntered,CustIndCharge,CustRelCharge,CustSurCharge,CustIndAction,CustRelAction,CustSurAction,UseCustomFees,Addr,Addr2,City,State,ZIP,Cntry,OMEEntryStyle,SwimmerEntryDeadLine,SwimmerEntryOpen,AllowCustomTimes,ExportEntriesDate,LastSyncDate,FinalizeEntriesDate,UseSwimmersTeam,HonorInviteList,EntryTeam,EMailFrom,EMailSubject,EMailText,EntryEMailFrom,EntryEMailSubject,EntryEMailText,OMEBillDate,InviteEmailDate,CollectFeesOnline,OMEValidated,OMECustomTeam,OMEFilterTeam,OMENeedSync,License,OMENeedsSync,MeetSharingStatus,FileExportType,MeetRegistrationOpens,MeetRegistrationCloses,MeetSharingMeetID,MeetSharingPayStatus,MeetSharingResultDate,EV3Version
97,"BASS Winter Invitational","11/20/04 00:00:00","11/21/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Woodberry Forest",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
98,"SST vs. North Stafford","12/04/04 00:00:00","12/04/04 00:00:00",,,"Y",,0,0,0,"HS",,4,3,0,"Freedom Fitness and Aquatic Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
99,"SST vs. Woodberry, Flint Hill","12/11/04 00:00:00",,,,"Y",,0,0,0,,,0,0,0,"Woodberry Forest",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
100,"SST vs. ECS, FCS","12/17/04 00:00:00","12/17/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Dale City Recreation Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
102,"USA Times for 2004-2005","12/31/04 00:00:00",,,,"Y",,0,0,0,,,0,0,0,,0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
104,"SST vs Battlefield High School","01/08/05 00:00:00","01/08/05 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
105,"SST vs FA, FCS","01/15/05 00:00:00","01/15/05 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
106,"2005 National Catholic Championship","01/29/05 00:00:00","01/30/05 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Villanova University",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
107,"SST vs Wakefield","01/26/05 00:00:00","01/26/05 00:00:00",,,"Y",,0,0,0,,,0,0,0,"FAST Aquatic Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
108,"2005 DAC Championships","02/05/05 00:00:00","02/05/05 00:00:00",,,"Y",,0,0,0,,,0,0,4,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
